objectid,filename,title,creator,date,description,subject,location,source,type,format,frame rate,length,dimensions,bit depth,rights,rightsstatement
KMdance001,20_20vision_moment1.jpg,20_20 VisionMoment1,Katie Monsell,2021-5-16,Stillframe from 20_20 Vision archive footage.,stillframe; film; dance,"Lewistown, Pennsylvania",KMdancefilms,image;stillimage,image/jpg,,,1920x1080,24,KMdancefilms.com,https://rightsstatements.org/page/NKC/1.0/?language=en
KMdance002,20_20vision_moment2.jpg,20_20 VisionMoment2,Katie Monsell,2021-5-16,Stillframe from 20_20 Vision archive footage.,stillframe; film; dance,"Lewistown, Pennsylvania",KMdancefilms,image;stillimage,image/jpg,,,1920x1080,24,Kmdancefilms.com,https://rightsstatements.org/page/NKC/1.0/?language=en
KMdance003,20_20vision_moment3.jpg,20_20VisionMoment3,Katie Monsell,2021-5-16,Stillframe from 20_20 Vision archive footage.,stillframe; film; dance,"Lewistown, Pennsylvania",KMdancefilms,image;stillimage,image/jpg,,,1920x1080,24,KMdancefilms.com,https://rightsstatements.org/page/NKC/1.0/?language=en
KMdance004,cairo_photo1.jpg,Pyramid Sands,Yasmina of Cairo,2021-11-13,Photo of Katie Monsell in Sa'idi outfit. Taken in,Egyptian dance; photography,"Cairo, Egypt",YasminaofCairo,image;stillimage,image/jpg,,,446x664,24,KMdancefilms.com/YasminaofCairo.com,https://rightsstatements.org/page/NKC/1.0/?language=en
KMdance005,cairo_photo2.jpg,Orchard Scene,Yasmina of Cairo,2021-11-13,Photo of Katie Monsell in Sa'idi outfit. Taken in,Egyptian dance; photography,"Cairo, Egypt",YasminaofCairo,image;stillimage,image/jpg,,,446x664,24,KMdancefilms.com/YasminaofCairo.com,https://rightsstatements.org/page/NKC/1.0/?language=en
KMdance006,cairo_photo3.jpg,In the Orchard with Ptar,Yasmina of Cairo,2021-11-13,Photo of Katie Monsell in Sa'idi outfit with Arabian horse (Ptar). Taken in,Egyptian dance; photography,"Cairo, Egypt",YasminaofCairo,image;stillimage,image/jpg,,,460x650,24,KMdancefilms.com/YasminaofCairo.com,https://rightsstatements.org/page/NKC/1.0/?language=en
KMdance007,cairo_photo4.jpg,In the Doorway,Yasmina of Cairo,2021-11-13,"Photo of Katie Monsell in Sa'idi outfit. Taken at Yasmina's Bed and Breakfast in Cairo, Egypt",Egyptian dance; photography,"Cairo, Egypt",YasminaofCairo,image;stillimage,image/jpg,,,420x368,24,KMdancefilms.com/YasminaofCairo.com,https://rightsstatements.org/page/NKC/1.0/?language=en
KMdance008,cairo_photo5.jpg,Caberet,Yasmina of Cairo,2021-11-13,"Photo of Katie Monsell in Egyptian Cabaret cosume. Taken at Yasmina';s Bed and Breakfast in Cairo, Egypt",Egyptian dance; photography,Cairo. Egypt,YasminaofCairo,image;stillimage,image/jpg,,,420x638,24,KMdancefilms.com/YasminaofCairo.com,https://rightsstatements.org/page/NKC/1.0/?language=en
KMdance009,circlesong.mp3,Circle Song,Elexa Dawson,2019-10-5,"Folk music track created by Elexa Dawson (Citizen Potawatomi Nation). Used as soundtrack for ""Rivers Run to the Sea"" dance film.",music; folk; indie; solo,"Stull, Kansas",Music is Medicine Album,sound,audio/mp3,,0:02:08,,,Lost Cowgirls Records,https://rightsstatements.org/page/InC/1.0/?language=en
KMdance010,clairdulunedebussy.mp3,Clair du Lune,Claude DeBussy,2019-1-6,"Paino rendition of Claude Debussy's ""Clair du Lune."" Cover by Ohad Ben Ari ",music; classical; instrumental,,Pianissimo Album,sound,audio/mp3,,0:05:33,,,KMdancefilms.com,https://rightsstatements.org/page/InC/1.0/?language=en
